loan_id,document_status
L-100322,AVAILABLE
L-100862,AVAILABLE
L-100126,AVAILABLE
L-100678,AVAILABLE
L-100868,AVAILABLE
L-100685,AVAILABLE
L-100779,AVAILABLE
L-100217,AVAILABLE
L-100629,AVAILABLE
L-100603,AVAILABLE
L-100640,AVAILABLE
L-100775,AVAILABLE
L-100886,AVAILABLE
L-100630,AVAILABLE
L-100605,AVAILABLE
L-100618,AVAILABLE
L-100159,AVAILABLE
L-100579,AVAILABLE
L-100270,AVAILABLE
L-100243,AVAILABLE
L-100601,AVAILABLE
L-100356,AVAILABLE
L-100521,AVAILABLE
L-100853,AVAILABLE
L-100230,AVAILABLE
L-100759,AVAILABLE
L-100385,AVAILABLE
L-100596,AVAILABLE
L-100719,AVAILABLE
L-100258,AVAILABLE
L-100572,AVAILABLE
L-100913,MISSING
L-100628,AVAILABLE
L-100662,AVAILABLE
L-100068,AVAILABLE
L-100177,AVAILABLE
L-100128,AVAILABLE
L-100236,AVAILABLE
L-100762,AVAILABLE
L-100011,AVAILABLE
L-100196,AVAILABLE
L-100021,AVAILABLE
L-100470,AVAILABLE
L-100275,AVAILABLE
L-100342,MISSING
L-100242,AVAILABLE
L-100008,AVAILABLE
L-100846,AVAILABLE
L-100581,AVAILABLE
L-100541,AVAILABLE
L-100193,AVAILABLE
L-100348,AVAILABLE
L-100482,AVAILABLE
L-100498,AVAILABLE
L-100361,AVAILABLE
L-100977,AVAILABLE
L-100839,AVAILABLE
L-100772,AVAILABLE
L-100950,AVAILABLE
L-100332,AVAILABLE
L-100706,AVAILABLE
L-100454,MISSING
L-100161,AVAILABLE
L-100580,AVAILABLE
L-100956,AVAILABLE
L-100938,AVAILABLE
L-100315,AVAILABLE
L-100954,AVAILABLE
L-100529,AVAILABLE
L-100647,AVAILABLE
L-100497,AVAILABLE
L-100702,AVAILABLE
L-100555,AVAILABLE
L-100225,MISSING
L-100557,AVAILABLE
L-100033,AVAILABLE
L-100252,AVAILABLE
L-100204,MISSING
L-100035,AVAILABLE
L-100802,AVAILABLE
L-100392,AVAILABLE
L-100927,AVAILABLE
L-100037,AVAILABLE
L-100876,AVAILABLE
L-100257,AVAILABLE
L-100411,AVAILABLE
L-100255,AVAILABLE
L-100986,AVAILABLE
L-100807,AVAILABLE
L-100674,AVAILABLE
L-100712,AVAILABLE
L-100798,AVAILABLE
L-100939,AVAILABLE
L-100206,AVAILABLE
L-100806,AVAILABLE
L-100138,AVAILABLE
L-100565,AVAILABLE
L-100024,AVAILABLE
L-100472,AVAILABLE
L-100106,AVAILABLE
L-100387,AVAILABLE
L-100333,AVAILABLE
L-100840,AVAILABLE
L-100000,AVAILABLE
L-100244,AVAILABLE
L-100979,AVAILABLE
L-100714,MISSING
L-100466,AVAILABLE
L-100013,AVAILABLE
L-100544,AVAILABLE
L-100478,AVAILABLE
L-100178,AVAILABLE
L-100715,AVAILABLE
L-100142,MISSING
L-100415,AVAILABLE
L-100135,AVAILABLE
L-100801,AVAILABLE
L-100881,AVAILABLE
L-100016,MISSING
L-100213,AVAILABLE
L-100682,AVAILABLE
L-100642,AVAILABLE
L-100631,AVAILABLE
L-100989,AVAILABLE
L-100325,AVAILABLE
L-100968,AVAILABLE
L-100503,AVAILABLE
L-100279,MISSING
L-100402,AVAILABLE
L-100695,AVAILABLE
L-100666,AVAILABLE
L-100337,AVAILABLE
L-100693,AVAILABLE
L-100426,AVAILABLE
L-100063,AVAILABLE
L-100535,AVAILABLE
L-100990,AVAILABLE
L-100032,AVAILABLE
L-100039,AVAILABLE
L-100038,AVAILABLE
L-100782,AVAILABLE
L-100181,AVAILABLE
L-100974,AVAILABLE
L-100948,AVAILABLE
L-100227,AVAILABLE
L-100547,AVAILABLE
L-100770,AVAILABLE
L-100502,AVAILABLE
L-100044,AVAILABLE
L-100076,AVAILABLE
L-100796,AVAILABLE
L-100365,AVAILABLE
L-100300,AVAILABLE
L-100274,MISSING
L-100718,AVAILABLE
L-100291,AVAILABLE
L-100030,AVAILABLE
L-100296,AVAILABLE
L-100656,AVAILABLE
L-100499,AVAILABLE
L-100229,AVAILABLE
L-100951,AVAILABLE
L-100960,AVAILABLE
L-100463,AVAILABLE
L-100919,MISSING
L-100159,AVAILABLE
L-100480,AVAILABLE
L-100431,AVAILABLE
L-100711,AVAILABLE
L-100293,AVAILABLE
L-100483,AVAILABLE
L-100522,AVAILABLE
L-100761,AVAILABLE
L-100687,AVAILABLE
L-100689,AVAILABLE
L-100831,AVAILABLE
L-100524,MISSING
L-100321,AVAILABLE
L-100176,AVAILABLE
L-100335,AVAILABLE
L-100119,AVAILABLE
L-100878,AVAILABLE
L-100380,AVAILABLE
L-100042,AVAILABLE
L-100627,AVAILABLE
L-100216,MISSING
L-100890,AVAILABLE
L-100844,AVAILABLE
L-100328,AVAILABLE
L-100994,AVAILABLE
L-100932,AVAILABLE
L-100794,AVAILABLE
L-100185,AVAILABLE
L-100784,AVAILABLE
L-100408,AVAILABLE
L-100825,AVAILABLE
L-100680,AVAILABLE
L-100360,MISSING
L-100769,AVAILABLE
L-100172,AVAILABLE
L-100081,AVAILABLE
L-100501,AVAILABLE
L-100941,AVAILABLE
L-100664,AVAILABLE
L-100528,AVAILABLE
L-100305,AVAILABLE
L-100212,AVAILABLE
L-100452,MISSING
L-100692,AVAILABLE
L-100302,AVAILABLE
L-100399,AVAILABLE
L-100020,AVAILABLE
L-100553,AVAILABLE
L-100924,AVAILABLE
L-100519,AVAILABLE
L-100029,AVAILABLE
L-100218,AVAILABLE
L-100323,AVAILABLE
L-100945,AVAILABLE
L-100228,AVAILABLE
L-100041,AVAILABLE
L-100086,AVAILABLE
L-100036,AVAILABLE
L-100384,AVAILABLE
L-100096,AVAILABLE
L-100957,MISSING
L-100136,AVAILABLE
L-100616,AVAILABLE
L-100731,AVAILABLE
L-100634,AVAILABLE
L-100966,AVAILABLE
L-100923,AVAILABLE
L-100665,AVAILABLE
L-100746,AVAILABLE
L-100626,AVAILABLE
L-100558,AVAILABLE
L-100737,AVAILABLE
L-100808,AVAILABLE
L-100189,AVAILABLE
L-100487,AVAILABLE
L-100245,AVAILABLE
L-100284,AVAILABLE
L-100362,AVAILABLE
L-100566,AVAILABLE
L-100285,AVAILABLE
L-100031,AVAILABLE
L-100622,AVAILABLE
L-100551,AVAILABLE
L-100859,AVAILABLE
L-100607,AVAILABLE
L-100022,AVAILABLE
L-100386,AVAILABLE
L-100509,AVAILABLE
L-100866,AVAILABLE
L-100059,AVAILABLE
L-100915,AVAILABLE
L-100473,AVAILABLE
L-100101,MISSING
L-100200,AVAILABLE
L-100636,AVAILABLE
L-100149,AVAILABLE
L-100413,AVAILABLE
L-100771,AVAILABLE
L-100347,AVAILABLE
L-100407,AVAILABLE
L-100397,AVAILABLE
L-100069,AVAILABLE
L-100379,AVAILABLE
L-100058,AVAILABLE
L-100633,AVAILABLE
L-100167,AVAILABLE
L-100418,AVAILABLE
L-100455,AVAILABLE
L-100313,MISSING
L-100070,AVAILABLE
L-100819,AVAILABLE
L-100510,AVAILABLE
L-100376,AVAILABLE
,AVAILABLE
L-100515,AVAILABLE
L-100045,AVAILABLE
