type,loan_id,index
Missing Loan ID,,474
Missing Loan ID,,785
Missing Loan ID,,465
Missing Loan ID,,836
Missing Loan ID,,89
Duplicate Loan ID,L-100217,
Duplicate Loan ID,L-100381,
Duplicate Loan ID,L-100302,
Duplicate Loan ID,L-100159,
Duplicate Loan ID,L-100413,
Invalid Date Format,L-100637,
Invalid Date Format,L-100261,
Invalid Date Format,L-100387,
Invalid Date Format,L-100038,
Invalid Date Format,L-100433,
Invalid Date Format,L-100966,
Invalid Date Format,L-100103,
Invalid Date Format,L-100793,
Invalid Date Format,L-100600,
Invalid Date Format,L-100312,
Maturity Before Origination,L-100207,
Maturity Before Origination,L-100056,
Maturity Before Origination,L-100775,
Maturity Before Origination,L-100887,
Maturity Before Origination,L-100818,
Negative Balance,L-100033,
Negative Balance,L-100658,
Negative Balance,L-100021,
Negative Balance,L-100739,
Negative Balance,L-100452,
Current > Original Balance,L-100267,
Current > Original Balance,L-100779,
Current > Original Balance,L-100992,
Current > Original Balance,L-100987,
Current > Original Balance,L-100457,
Inconsistent Payment Status,L-100598,
Inconsistent Payment Status,L-100999,
Inconsistent Payment Status,L-100493,
Inconsistent Payment Status,L-100830,
Inconsistent Payment Status,L-100287,
Invalid State Code,L-100556,
Invalid State Code,L-100933,
Invalid State Code,L-100719,
Invalid State Code,L-100705,
Invalid State Code,L-100784,
Closed With Balance,L-100303,
Closed With Balance,L-100772,
Closed With Balance,L-100612,
Closed With Balance,L-100136,
Closed With Balance,L-100720,
