loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-100322,B-34735,CONVENTIONAL,2016-03-02,2046-03-04,312588.14,50418.18,5.656,360,TX,PURCHASE,D,4-7 years,$50k-$100k,CURRENT,0,Servicer_A,2024-02-01,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100862,B-62285,FHA,2020-05-24,2030-05-25,255242.83,52759.63,4.572,120,TX,CASH_OUT,A,1-3 years,$150k+,CURRENT,0,Servicer_A,2024-02-05,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100126,B-43358,JUMBO,2020-10-14,2030-10-14,436333.99,87234.3,6.859,120,FL,PURCHASE,D,10+ years,$50k-$100k,CURRENT,0,Servicer_C,2024-02-26,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100678,B-50350,JUMBO,2015-05-17,2030-05-17,223648.47,121559.01,6.391,180,NC,PURCHASE,D,4-7 years,$150k+,CURRENT,0,Servicer_A,2024-01-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100868,B-53276,VA,2019-01-25,2049-01-26,56940.69,24020.02,5.568,360,NC,REFINANCE,B,8-10 years,$150k+,CURRENT,0,Servicer_B,2024-02-02,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100685,B-22917,VA,2023-12-14,2053-12-15,485379.98,145581.89,7.395,360,OH,REFINANCE,D,4-7 years,$50k-$100k,CURRENT,0,Servicer_C,2024-02-02,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100779,B-90685,FHA,2020-09-15,2035-09-16,71917.14,81917.14,2.95,180,FL,REFINANCE,C,10+ years,$50k-$100k,CURRENT,0,Servicer_B,2024-02-29,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100217,B-38583,VA,2018-02-09,2048-02-11,446242.37,150206.69,5.449,360,OH,CASH_OUT,A,< 1 year,$150k+,CURRENT,0,Servicer_A,2024-02-03,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100629,B-20537,VA,2018-01-11,2033-01-11,356340.85,286954.55,5.457,180,TX,REFINANCE,B,4-7 years,$50k-$100k,CURRENT,0,Servicer_C,2024-01-15,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100603,B-16068,JUMBO,2020-10-09,2030-10-10,350551.5,322533.3,7.006,120,OH,REFINANCE,A,< 1 year,$150k+,CURRENT,0,Servicer_C,2024-01-14,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100640,B-51379,VA,2021-06-21,2036-06-21,357089.17,262948.45,6.991,180,OH,REFINANCE,C,1-3 years,$0-$50k,CURRENT,0,Servicer_C,2024-01-11,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100775,B-27924,FHA,2019-03-02,2010-01-01,410602.21,103602.62,5.83,120,IL,PURCHASE,B,8-10 years,$0-$50k,CURRENT,0,Servicer_B,2024-01-25,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100886,B-79912,FHA,2018-04-19,2048-04-19,492177.03,196449.36,2.624,360,TX,REFINANCE,C,< 1 year,$100k-$150k,CURRENT,0,Servicer_C,2024-02-28,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100630,B-23191,JUMBO,2023-08-09,2038-08-09,425328.95,177105.4,3.517,180,IL,CASH_OUT,B,10+ years,$150k+,CURRENT,0,Servicer_C,2024-02-03,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100605,B-53169,JUMBO,2017-11-20,2047-11-22,257490.26,202393.23,6.145,360,OH,REFINANCE,B,10+ years,$150k+,CURRENT,0,Servicer_B,2024-01-24,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100618,B-47933,JUMBO,2019-11-07,2029-11-07,115505.92,54415.04,6.817,120,NY,REFINANCE,D,4-7 years,$150k+,CURRENT,0,Servicer_C,2024-01-18,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100159,B-99493,VA,2023-10-26,2038-10-26,57513.26,27242.49,7.397,180,IL,PURCHASE,A,< 1 year,$100k-$150k,CURRENT,0,Servicer_C,2024-01-23,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100579,B-55548,CONVENTIONAL,2018-09-11,2048-09-11,337254.31,74686.88,6.355,360,MI,REFINANCE,D,< 1 year,$100k-$150k,CURRENT,0,Servicer_B,2024-02-12,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100270,B-84996,VA,2022-12-28,2052-12-28,371413.49,129576.89,6.416,360,IL,CASH_OUT,D,< 1 year,$50k-$100k,CURRENT,0,Servicer_C,2024-01-03,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100243,B-59538,JUMBO,2018-02-23,2048-02-24,337703.01,137497.24,5.86,360,FL,REFINANCE,B,8-10 years,$150k+,CURRENT,0,Servicer_C,2024-01-30,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100601,B-42156,VA,2019-02-07,2049-02-08,156146.55,25634.42,5.991,360,MI,CASH_OUT,B,8-10 years,$100k-$150k,CURRENT,0,Servicer_C,2024-02-26,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100356,B-16743,FHA,2016-04-24,2046-04-26,451909.65,307506.06,2.703,360,IL,PURCHASE,D,4-7 years,$150k+,CURRENT,0,Servicer_C,2024-02-10,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100521,B-55188,JUMBO,2019-11-17,2049-11-17,86753.33,10656.6,4.908,360,PA,CASH_OUT,D,10+ years,$150k+,CURRENT,0,Servicer_C,2024-02-04,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100853,B-47522,VA,2019-12-16,2029-12-16,456377.02,339249.28,6.285,120,PA,PURCHASE,B,< 1 year,$100k-$150k,CURRENT,0,Servicer_C,2024-02-02,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100230,B-15379,FHA,2023-01-22,2038-01-22,263436.85,238505.93,2.852,180,CA,REFINANCE,B,< 1 year,$100k-$150k,CURRENT,0,Servicer_A,2024-01-09,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100759,B-13363,FHA,2017-07-09,2027-07-10,194166.31,92814.13,7.258,120,GA,PURCHASE,C,< 1 year,$50k-$100k,CURRENT,0,Servicer_C,2024-02-01,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100385,B-24605,VA,2017-04-28,2032-04-29,76727.49,48961.24,4.574,180,TX,CASH_OUT,A,< 1 year,$150k+,CURRENT,0,Servicer_C,2024-02-13,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100596,B-75830,JUMBO,2016-01-24,2031-01-24,215221.27,131149.82,6.362,180,NY,REFINANCE,C,4-7 years,$150k+,CURRENT,0,Servicer_B,2024-02-15,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100719,B-86192,VA,2017-09-27,2027-09-28,250039.03,158031.77,4.364,120,XX,REFINANCE,A,4-7 years,$0-$50k,CURRENT,0,Servicer_C,2024-01-26,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100258,B-59987,VA,2018-03-11,2033-03-11,468721.52,219779.25,6.471,180,NY,REFINANCE,A,1-3 years,$150k+,CURRENT,0,Servicer_B,2024-01-09,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100572,B-96214,JUMBO,2017-02-11,2032-02-12,184055.79,40473.65,7.389,180,MI,PURCHASE,B,< 1 year,$50k-$100k,CURRENT,0,Servicer_C,2024-02-01,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100913,B-67934,FHA,2017-09-24,2047-09-26,201055.92,136093.49,5.121,360,NY,CASH_OUT,C,< 1 year,$50k-$100k,CURRENT,0,Servicer_B,2024-02-24,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100628,B-54627,FHA,2015-03-31,2030-03-31,64670.75,38259.67,4.494,180,IL,PURCHASE,D,< 1 year,$150k+,CURRENT,0,Servicer_B,2024-02-05,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100662,B-23977,JUMBO,2015-12-14,2030-12-15,76889.91,13280.55,2.605,180,TX,CASH_OUT,D,8-10 years,$0-$50k,CURRENT,0,Servicer_B,2024-02-12,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100068,B-60152,CONVENTIONAL,2019-09-08,2049-09-08,93246.17,40694.17,4.868,360,FL,CASH_OUT,B,1-3 years,$50k-$100k,CURRENT,0,Servicer_B,2024-01-07,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100177,B-84018,VA,2023-08-23,2053-08-24,50152.2,44604.44,5.762,360,GA,REFINANCE,D,1-3 years,$100k-$150k,CURRENT,0,Servicer_B,2024-02-25,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100128,B-19169,VA,2021-05-17,2036-05-17,419748.36,193189.68,2.8,180,NY,REFINANCE,A,< 1 year,$50k-$100k,CURRENT,0,Servicer_A,2024-02-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100236,B-72772,FHA,2017-10-12,2047-10-13,68402.22,28280.24,3.539,360,NC,CASH_OUT,A,1-3 years,$0-$50k,CURRENT,0,Servicer_A,2024-01-12,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100762,B-21813,VA,2020-12-05,2030-12-06,333867.52,233505.53,2.906,120,TX,CASH_OUT,D,4-7 years,$0-$50k,CURRENT,0,Servicer_B,2024-02-05,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100011,B-84433,VA,2017-11-20,2032-11-20,53944.27,12676.73,4.94,180,NC,CASH_OUT,D,10+ years,$100k-$150k,CURRENT,0,Servicer_A,2024-01-24,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100196,B-24154,JUMBO,2022-07-22,2052-07-23,219381.2,73850.76,7.331,360,GA,CASH_OUT,C,4-7 years,$50k-$100k,CURRENT,0,Servicer_A,2024-01-31,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100021,B-49111,JUMBO,2020-09-20,2050-09-21,156694.27,-1500.0,7.413,360,PA,PURCHASE,D,8-10 years,$50k-$100k,CURRENT,0,Servicer_B,2024-02-28,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100470,B-81712,VA,2017-09-04,2032-09-04,497102.32,96069.82,2.641,180,CA,CASH_OUT,B,4-7 years,$0-$50k,CURRENT,0,Servicer_C,2024-01-24,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100275,B-85954,JUMBO,2020-05-22,2035-05-23,178594.94,135431.65,6.378,180,FL,PURCHASE,D,8-10 years,$0-$50k,CURRENT,0,Servicer_B,2024-01-21,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100342,B-82186,CONVENTIONAL,2020-01-27,2050-01-28,224491.19,133166.08,3.579,360,NY,PURCHASE,A,1-3 years,$50k-$100k,CURRENT,0,Servicer_B,2024-02-03,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100242,B-82650,CONVENTIONAL,2022-01-03,2052-01-05,418906.9,256189.72,4.955,360,GA,PURCHASE,C,4-7 years,$150k+,CURRENT,0,Servicer_A,2024-01-04,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100008,B-40553,CONVENTIONAL,2018-02-25,2048-02-27,448985.86,393352.88,6.55,360,OH,CASH_OUT,D,1-3 years,$50k-$100k,CURRENT,0,Servicer_C,2024-02-03,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100846,B-13047,JUMBO,2022-04-20,2037-04-20,166754.85,47138.33,6.575,180,NC,PURCHASE,C,4-7 years,$50k-$100k,CURRENT,0,Servicer_C,2024-01-06,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100581,B-36031,FHA,2023-08-26,2053-08-26,340619.72,68133.87,3.607,360,CA,REFINANCE,A,10+ years,$100k-$150k,CURRENT,0,Servicer_C,2024-01-06,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100541,B-68489,FHA,2019-10-28,2049-10-29,266554.86,114094.51,5.993,360,TX,REFINANCE,D,4-7 years,$100k-$150k,CURRENT,0,Servicer_C,2024-01-19,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100193,B-12496,FHA,2023-03-02,2033-03-02,235499.8,138904.88,7.229,120,IL,CASH_OUT,C,10+ years,$150k+,CURRENT,0,Servicer_C,2024-02-04,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100348,B-37189,VA,2018-10-30,2048-10-30,171257.02,92115.47,6.752,360,MI,PURCHASE,B,1-3 years,$150k+,CURRENT,0,Servicer_C,2024-01-02,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100482,B-87552,JUMBO,2019-12-03,2034-12-03,224092.12,145911.45,3.517,180,FL,PURCHASE,C,10+ years,$100k-$150k,CURRENT,0,Servicer_A,2024-01-11,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100498,B-39040,FHA,2020-06-30,2050-07-01,281793.49,162906.08,3.204,360,IL,CASH_OUT,C,8-10 years,$150k+,CURRENT,0,Servicer_C,2024-02-10,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100361,B-61876,FHA,2017-02-16,2047-02-17,109197.99,75642.56,2.907,360,CA,REFINANCE,D,< 1 year,$0-$50k,CURRENT,0,Servicer_A,2024-02-08,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
L-100977,B-70917,VA,2019-01-10,2034-01-10,124420.66,71848.35,7.115,180,TX,PURCHASE,C,10+ years,$50k-$100k,CURRENT,0,Servicer_A,2024-01-01,2026-09-14T16:24:39,AVAILABLE,ORIGINATION_DB
