loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L-100286,B-17050,FHA,2020-08-20,2035-08-21,435209.36,202936.72,2.864,180,OH,REFINANCE,D,10+ years,$50k-$100k,DELINQUENT,56,Servicer_A,2024-02-08,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100919,B-87134,JUMBO,2016-02-17,2031-02-17,294879.6,234793.98,2.908,180,PA,REFINANCE,A,10+ years,$100k-$150k,CURRENT,0,Servicer_A,2024-02-28,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100950,B-63301,CONVENTIONAL,2018-09-26,2028-09-26,336453.84,311460.23,6.789,120,TX,PURCHASE,D,10+ years,$0-$50k,CURRENT,0,Servicer_C,2024-01-09,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100050,B-92511,FHA,2016-06-08,2046-06-10,283629.76,107406.41,3.432,360,CA,REFINANCE,B,1-3 years,$50k-$100k,CURRENT,0,Servicer_B,2024-02-28,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100212,B-56426,CONVENTIONAL,2018-10-23,2048-10-24,280146.79,161871.62,2.958,360,MI,REFINANCE,B,1-3 years,$100k-$150k,DELINQUENT,43,Servicer_B,2024-02-19,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100645,B-43848,FHA,2022-11-15,2037-11-16,167875.91,17800.38,6.49,180,OH,PURCHASE,B,8-10 years,$50k-$100k,CURRENT,0,Servicer_A,2024-02-03,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100209,B-52286,VA,2019-12-18,2034-12-18,309359.38,243159.07,7.152,180,MI,CASH_OUT,C,< 1 year,$100k-$150k,DELINQUENT,90,Servicer_B,2024-01-23,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100742,B-43936,JUMBO,2022-08-27,2037-08-27,284599.07,227353.42,6.734,180,TX,REFINANCE,A,10+ years,$100k-$150k,CURRENT,0,Servicer_B,2024-02-07,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100036,B-99206,VA,2021-09-24,2036-09-25,461232.99,166543.55,5.623,180,NC,PURCHASE,C,< 1 year,$150k+,CURRENT,0,Servicer_C,2024-01-15,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100119,B-82515,CONVENTIONAL,2021-02-24,2036-02-25,87639.06,57498.69,4.578,180,PA,PURCHASE,B,8-10 years,$150k+,CURRENT,0,Servicer_A,2024-02-16,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100037,B-41032,FHA,2018-04-10,2033-04-10,112724.26,18510.35,5.827,180,NY,REFINANCE,A,1-3 years,$100k-$150k,DELINQUENT,31,Servicer_B,2024-02-29,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100256,B-33040,JUMBO,2017-02-28,2032-02-29,132568.38,25272.75,4.627,180,PA,PURCHASE,B,4-7 years,$0-$50k,CURRENT,0,Servicer_C,2024-01-20,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100992,B-23927,CONVENTIONAL,2022-08-20,2032-08-20,154757.68,148281.91,5.063,120,GA,PURCHASE,D,4-7 years,$50k-$100k,CURRENT,0,Servicer_C,2024-02-08,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100584,B-66051,CONVENTIONAL,2020-02-19,2035-02-20,289277.75,111723.89,3.341,180,CA,REFINANCE,C,1-3 years,$150k+,CURRENT,0,Servicer_A,2024-01-05,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100345,B-71779,CONVENTIONAL,2023-07-06,2033-07-06,396370.62,243906.87,5.896,120,CA,CASH_OUT,B,4-7 years,$150k+,CURRENT,0,Servicer_A,2024-01-26,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
L-100229,B-67267,JUMBO,2021-06-26,2036-06-26,299326.57,222687.86,3.515,180,TX,CASH_OUT,A,1-3 years,$150k+,CURRENT,0,Servicer_A,2024-02-24,2026-09-14T16:24:39,AVAILABLE,SERVICER_DB
