loanId,borrowerId,loanType,originationDate,maturityDate,originalPrincipal,currentBalance,interestRate,termMonths,borrowerState,loanPurpose,creditGrade,employmentLength,incomeBand,paymentStatus,daysPastDue,servicerName,lastPaymentDate
LN-10001,BRW-90001,Personal,2022-08-08,2024-12-01,42371,33382,14.99,36,MI,Debt Consolidation,B,1-3 years,100k-150k,Late (31-120 days),91,PennyMac,2022-12-11
LN-10002,BRW-90002,Personal,2022-05-17,2023-05-06,21154,20016,7.11,36,GA,Major Purchase,B,1-3 years,0-50k,In Grace Period,0,Wells Fargo,2025-09-11
LN-10003,BRW-90003,Personal,2018-07-06,2028-09-27,13116,11978,16.34,60,OH,Major Purchase,D,< 1 year,100k-150k,In Grace Period,0,Wells Fargo,2022-05-31
LN-10004,BRW-90004,Personal,2022-07-05,2026-09-12,42947,29955,19.51,60,GA,Debt Consolidation,D,1-3 years,50k-100k,Charged Off,0,Mr. Cooper,2022-12-15
LN-10005,BRW-90005,Personal,2020-12-01,2027-12-07,14218,10650,16.12,60,NC,Major Purchase,A,8-10 years,0-50k,Current,0,Wells Fargo,2023-08-18
LN-10006,BRW-90006,Personal,2018-07-01,2027-07-07,35532,26312,12.41,36,PA,Major Purchase,A,4-7 years,100k-150k,Late (31-120 days),80,Mr. Cooper,2024-03-18
LN-10007,BRW-90007,Personal,2019-10-31,2028-01-22,24934,13864,9.47,36,MI,Home Improvement,E,10+ years,0-50k,Charged Off,0,LoanCare,2025-12-14
LN-10008,BRW-90008,Personal,2018-08-18,2028-09-13,28005,17004,6.65,36,NC,Home Improvement,D,4-7 years,50k-100k,Fully Paid,0,LoanCare,2023-11-06
LN-10009,BRW-90009,Personal,2021-12-04,2024-08-20,13717,10954,6.87,60,TX,Major Purchase,D,10+ years,50k-100k,Charged Off,0,Mr. Cooper,2026-09-03
LN-10010,BRW-90010,Personal,2020-07-23,2027-05-12,44403,26767,19.94,60,NY,Major Purchase,C,10+ years,0-50k,In Grace Period,0,Mr. Cooper,2024-11-07
LN-10011,BRW-90011,Personal,2022-04-21,2023-12-19,7641,7333,9.60,36,TX,Medical Expenses,C,10+ years,150k-200k,Charged Off,0,Wells Fargo,2025-05-03
LN-10012,BRW-90012,Personal,2020-09-28,2023-09-26,26847,14174,18.09,36,NY,Credit Card Refinancing,D,< 1 year,0-50k,Current,0,LoanCare,2024-11-26
LN-10013,BRW-90013,Personal,2021-02-13,2027-11-23,36743,24579,19.71,36,OH,Debt Consolidation,C,8-10 years,50k-100k,Current,0,PennyMac,2023-10-15
LN-10014,BRW-90014,Personal,2020-12-16,2027-08-07,11957,6441,7.34,60,NC,Major Purchase,E,1-3 years,0-50k,In Grace Period,0,PennyMac,2025-12-04
LN-10015,BRW-90015,Personal,2022-08-13,2025-12-01,28381,16889,10.91,36,TX,Major Purchase,A,1-3 years,100k-150k,Late (31-120 days),108,PennyMac,2023-08-19
LN-10016,BRW-90016,Personal,2022-11-11,2024-02-08,27184,26960,10.66,36,CA,Home Improvement,B,8-10 years,100k-150k,Late (31-120 days),115,Wells Fargo,2026-08-08
LN-10017,BRW-90017,Personal,2019-04-28,2023-09-30,38005,30219,17.50,36,TX,Debt Consolidation,D,10+ years,50k-100k,Charged Off,0,Mr. Cooper,2023-09-11
LN-10018,BRW-90018,Personal,2018-08-04,2025-03-04,32064,18073,7.90,36,FL,Major Purchase,D,< 1 year,100k-150k,In Grace Period,0,Mr. Cooper,2024-01-24
LN-10019,BRW-90019,Personal,2021-07-10,2028-07-26,33957,27314,15.61,60,CA,Credit Card Refinancing,A,1-3 years,150k-200k,Fully Paid,0,Wells Fargo,2026-02-06
LN-10020,BRW-90020,Personal,2018-04-19,2025-08-11,33289,18401,12.21,36,OH,Major Purchase,B,4-7 years,50k-100k,Late (31-120 days),74,Mr. Cooper,2025-10-07
LN-10021,BRW-90021,Personal,2022-10-09,2027-01-26,36741,25889,16.58,36,OH,Medical Expenses,E,< 1 year,0-50k,In Grace Period,0,Mr. Cooper,2023-11-27
LN-10022,BRW-90022,Personal,2020-06-19,2028-07-11,43630,38410,13.95,36,IL,Major Purchase,D,1-3 years,0-50k,Current,0,PennyMac,2024-01-20
LN-10023,BRW-90023,Personal,2020-07-08,2024-05-18,43131,32720,5.42,36,OH,Debt Consolidation,C,1-3 years,100k-150k,In Grace Period,0,Cenlar,2022-09-26
LN-10024,BRW-90024,Personal,2022-10-05,2026-03-30,33103,32409,12.68,36,MI,Debt Consolidation,C,< 1 year,150k-200k,In Grace Period,0,Cenlar,2024-02-07
LN-10025,BRW-90025,Personal,2018-11-27,2028-09-24,26894,21412,16.72,60,FL,Home Improvement,C,1-3 years,150k-200k,Late (31-120 days),72,Cenlar,2024-08-01
